,property,listing_title,is_sponsored,listing_id,listing_url,number_reviews,listing_rank,all_rank,common_icons,is_special_offer,from_rate
27,property,      Hotel Alma,False,2039236,https://www.tripadvisor.com/Hotel_Review-g294229-d2039236-Reviews-Hotel_Alma-Jakarta_Java.html,10,28,"2,075",Free Wifi Free parking ,False,0
28,property,      Grand Tropic Suites Hotel,False,673625,https://www.tripadvisor.com/Hotel_Review-g294229-d673625-Reviews-Grand_Tropic_Suites_Hotel-Jakarta_Java.html,261,29,"2,075",Free Wifi Pool ,False,0
29,property,      Kyriad Metro Cipulir Jakarta,False,13536370,https://www.tripadvisor.com/Hotel_Review-g294229-d13536370-Reviews-Kyriad_Metro_Cipulir_Jakarta-Jakarta_Java.html,12,30,"2,075",Free Wifi Free parking ,False,0
30,property,      Fairmont Jakarta,False,7182851,https://www.tripadvisor.com/Hotel_Review-g294229-d7182851-Reviews-Fairmont_Jakarta-Jakarta_Java.html,3143,31,"2,075",Free Wifi Free parking ,False,0
31,property,      Hotel Novotel Jakarta Gajah Mada,False,3588418,https://www.tripadvisor.com/Hotel_Review-g294229-d3588418-Reviews-Hotel_Novotel_Jakarta_Gajah_Mada-Jakarta_Java.html,2364,32,"2,075",Free Wifi Free parking ,False,0
32,property,      Raffles Jakarta,False,6897800,https://www.tripadvisor.com/Hotel_Review-g294229-d6897800-Reviews-Raffles_Jakarta-Jakarta_Java.html,1400,33,"2,075",Free Wifi Free parking ,False,0
33,property,      Century Park Hotel,False,450823,https://www.tripadvisor.com/Hotel_Review-g294229-d450823-Reviews-Century_Park_Hotel-Jakarta_Java.html,1516,34,"2,075",Free Wifi Free parking ,False,0
34,property,      The BnB Jakarta Kelapa Gading,False,4586354,https://www.tripadvisor.com/Hotel_Review-g294229-d4586354-Reviews-The_BnB_Jakarta_Kelapa_Gading-Jakarta_Java.html,269,35,"2,075",Free Wifi Free parking ,False,0
35,property,      HARRIS Vertu Hotel Harmoni,False,12034098,https://www.tripadvisor.com/Hotel_Review-g294229-d12034098-Reviews-HARRIS_Vertu_Hotel_Harmoni-Jakarta_Java.html,1956,36,"2,075",Free Wifi Free parking ,False,0
36,property,      DoubleTree by Hilton Hotel Jakarta - Diponegoro,False,5288357,https://www.tripadvisor.com/Hotel_Review-g294229-d5288357-Reviews-DoubleTree_by_Hilton_Hotel_Jakarta_Diponegoro-Jakarta_Java.html,1783,37,"2,075",Free parking Pool ,False,0
37,property,      Pullman Jakarta Indonesia,False,481832,https://www.tripadvisor.com/Hotel_Review-g294229-d481832-Reviews-Pullman_Jakarta_Indonesia-Jakarta_Java.html,3430,38,"2,075",Free Wifi Free parking ,False,0
38,property,      POP! Hotel Tebet Jakarta,False,5518272,https://www.tripadvisor.com/Hotel_Review-g294229-d5518272-Reviews-POP_Hotel_Tebet_Jakarta-Jakarta_Java.html,366,39,"2,075",Free Wifi Free parking ,False,0
39,property,      Hotel Zuri Express Mangga Dua,False,6762689,https://www.tripadvisor.com/Hotel_Review-g294229-d6762689-Reviews-Hotel_Zuri_Express_Mangga_Dua-Jakarta_Java.html,553,40,"2,075",Free Wifi Free parking ,False,0
40,property,      Mercure Jakarta Gatot Subroto,False,16866089,https://www.tripadvisor.com/Hotel_Review-g294229-d16866089-Reviews-Mercure_Jakarta_Gatot_Subroto-Jakarta_Java.html,154,41,"2,075",Free Wifi Free parking ,False,0
41,property,      Aryaduta Menteng,False,307133,https://www.tripadvisor.com/Hotel_Review-g294229-d307133-Reviews-Aryaduta_Menteng-Jakarta_Java.html,690,42,"2,075",Free Wifi Free parking ,False,0
42,property,      Liberta Hotel,False,3249664,https://www.tripadvisor.com/Hotel_Review-g294229-d3249664-Reviews-Liberta_Hotel-Jakarta_Java.html,395,43,"2,075",Free Wifi Free parking ,False,0
43,property,      Hotel Gran Mahakam Jakarta,False,299578,https://www.tripadvisor.com/Hotel_Review-g294229-d299578-Reviews-Hotel_Gran_Mahakam_Jakarta-Jakarta_Java.html,1051,44,"2,075",Free Wifi Pool ,False,0
44,property,      Swiss-Belhotel Pondok Indah,False,9589405,https://www.tripadvisor.com/Hotel_Review-g294229-d9589405-Reviews-Swiss_Belhotel_Pondok_Indah-Jakarta_Java.html,265,45,"2,075",Free Wifi Free parking ,False,0
45,property,      Hotel Menara Peninsula,False,482019,https://www.tripadvisor.com/Hotel_Review-g294229-d482019-Reviews-Hotel_Menara_Peninsula-Jakarta_Java.html,413,46,"2,075",Free Wifi Pool ,False,0
46,property,      Hotel Bidakara Grand Pancoran Jakarta,False,557849,https://www.tripadvisor.com/Hotel_Review-g294229-d557849-Reviews-Hotel_Bidakara_Grand_Pancoran_Jakarta-Jakarta_Java.html,154,47,"2,075",Free Wifi Free parking ,False,0
47,property,      Aryaduta Suites Semanggi,False,1477926,https://www.tripadvisor.com/Hotel_Review-g294229-d1477926-Reviews-Aryaduta_Suites_Semanggi-Jakarta_Java.html,452,48,"2,075",Free Wifi Free parking ,False,0
48,property,      favehotel LTC Glodok,False,5028648,https://www.tripadvisor.com/Hotel_Review-g294229-d5028648-Reviews-Favehotel_LTC_Glodok-Jakarta_Java.html,428,49,"2,075",Free Wifi Restaurant ,False,0
49,property,      Hotel Kuretakeso Kemang,False,15527441,https://www.tripadvisor.com/Hotel_Review-g294229-d15527441-Reviews-Hotel_Kuretakeso_Kemang-Jakarta_Java.html,52,50,"2,075",Free Wifi Free parking ,False,0
50,property,      Jambuluwuk Thamrin Hotel,False,19065704,https://www.tripadvisor.com/Hotel_Review-g294229-d19065704-Reviews-Jambuluwuk_Thamrin_Hotel-Jakarta_Java.html,19,51,"2,075",Free Wifi Free parking ,False,0
51,property,      Swiss-Belinn Simatupang,False,8591588,https://www.tripadvisor.com/Hotel_Review-g294229-d8591588-Reviews-Swiss_Belinn_Simatupang-Jakarta_Java.html,225,52,"2,075",Free Wifi Free parking ,False,0
52,property,      Arthama Hotel Wahid Hasyim Jakarta,False,17178363,https://www.tripadvisor.com/Hotel_Review-g294229-d17178363-Reviews-Arthama_Hotel_Wahid_Hasyim_Jakarta-Jakarta_Java.html,8,53,"2,075",Free parking Restaurant ,False,0
53,property,      Maple Hotel,False,12293306,https://www.tripadvisor.com/Hotel_Review-g294229-d12293306-Reviews-Maple_Hotel-Jakarta_Java.html,24,54,"2,075",Free Wifi Free parking ,False,0
54,property,      Oak Tree Mahakam Jakarta,False,4323730,https://www.tripadvisor.com/Hotel_Review-g294229-d4323730-Reviews-Oak_Tree_Mahakam_Jakarta-Jakarta_Java.html,68,55,"2,075",Free Wifi Free parking ,False,0
55,property,      RedDoorz @ Kelapa Dua Kebon Jeruk,False,9763732,https://www.tripadvisor.com/Hotel_Review-g294229-d9763732-Reviews-RedDoorz_Kelapa_Dua_Kebon_Jeruk-Jakarta_Java.html,6,56,"2,075",Free Wifi Free parking ,False,0
56,property,      Green Bamboo Residence,False,3323937,https://www.tripadvisor.com/Hotel_Review-g294229-d3323937-Reviews-Green_Bamboo_Residence-Jakarta_Java.html,32,57,"2,075",Free Wifi Restaurant ,False,0
57,property,      Clay Hotel Jakarta,False,3576927,https://www.tripadvisor.com/Hotel_Review-g294229-d3576927-Reviews-Clay_Hotel_Jakarta-Jakarta_Java.html,188,58,"2,075",Free Wifi Restaurant ,False,0
58,property,      Horison GP Mega Kuningan Hotel,False,5080546,https://www.tripadvisor.com/Hotel_Review-g294229-d5080546-Reviews-Horison_GP_Mega_Kuningan_Hotel-Jakarta_Java.html,96,59,"2,075",Free Wifi Pool ,False,0
59,property,      Samala Hotel,False,12295322,https://www.tripadvisor.com/Hotel_Review-g294229-d12295322-Reviews-Samala_Hotel-Jakarta_Java.html,59,60,"2,075",Free Wifi Free parking ,False,0
60,property,      Swissotel Jakarta PIK Avenue,False,18854425,https://www.tripadvisor.com/Hotel_Review-g294229-d18854425-Reviews-Swissotel_Jakarta_PIK_Avenue-Jakarta_Java.html,309,61,"2,075",Free Wifi Free parking ,False,0
61,property,      Morrissey Hotel Residences,False,1845751,https://www.tripadvisor.com/Hotel_Review-g294229-d1845751-Reviews-Morrissey_Hotel_Residences-Jakarta_Java.html,1254,62,"2,075",Free Wifi Free parking ,False,0
62,property,      Sentral Cawang Hotel,False,6776337,https://www.tripadvisor.com/Hotel_Review-g294229-d6776337-Reviews-Sentral_Cawang_Hotel-Jakarta_Java.html,378,63,"2,075",Free parking Restaurant ,False,0
63,property,      Ashley Jakarta Wahid Hasyim,False,11777162,https://www.tripadvisor.com/Hotel_Review-g294229-d11777162-Reviews-Ashley_Jakarta_Wahid_Hasyim-Jakarta_Java.html,399,64,"2,075",Free Wifi Free parking ,False,0
64,property,      Teraskita Hotel Jakarta Managed by Dafam,False,9454051,https://www.tripadvisor.com/Hotel_Review-g294229-d9454051-Reviews-Teraskita_Hotel_Jakarta_Managed_by_Dafam-Jakarta_Java.html,214,65,"2,075",Free Wifi Free parking ,False,0
65,property,      Ascott Kuningan Jakarta,False,6677774,https://www.tripadvisor.com/Hotel_Review-g294229-d6677774-Reviews-Ascott_Kuningan_Jakarta-Jakarta_Java.html,403,66,"2,075",Free Wifi Free parking ,False,0
66,property,      Park 5 Hotel,False,10224340,https://www.tripadvisor.com/Hotel_Review-g294229-d10224340-Reviews-Park_5_Hotel-Jakarta_Java.html,186,67,"2,075",Free Wifi Free parking ,False,0
67,property,      THE 1O1 Jakarta Sedayu Darmawangsa,False,7621601,https://www.tripadvisor.com/Hotel_Review-g294229-d7621601-Reviews-THE_1O1_Jakarta_Sedayu_Darmawangsa-Jakarta_Java.html,442,68,"2,075",Free Wifi Free parking ,False,0
68,property,      eL Royale Jakarta,False,13327668,https://www.tripadvisor.com/Hotel_Review-g294229-d13327668-Reviews-EL_Royale_Jakarta-Jakarta_Java.html,451,69,"2,075",Free Wifi Free parking ,False,0
69,property,      Yuan Garden Pasar Baru,False,13824534,https://www.tripadvisor.com/Hotel_Review-g294229-d13824534-Reviews-Yuan_Garden_Pasar_Baru-Jakarta_Java.html,914,70,"2,075",Free Wifi Free parking ,False,0
70,property,      Harper M.T. Haryono,False,10556987,https://www.tripadvisor.com/Hotel_Review-g294229-d10556987-Reviews-Harper_M_T_Haryono-Jakarta_Java.html,303,71,"2,075",,False,0
71,property,      Ashley Sabang,False,17517992,https://www.tripadvisor.com/Hotel_Review-g294229-d17517992-Reviews-Ashley_Sabang-Jakarta_Java.html,62,72,"2,075",Free Wifi Free parking ,False,0
72,property,      Citadines Rasuna Jakarta,False,4016337,https://www.tripadvisor.com/Hotel_Review-g294229-d4016337-Reviews-Citadines_Rasuna_Jakarta-Jakarta_Java.html,291,73,"2,075",Free Wifi Free parking ,False,0
73,property,      The Grove Suites,False,6538590,https://www.tripadvisor.com/Hotel_Review-g294229-d6538590-Reviews-The_Grove_Suites-Jakarta_Java.html,831,74,"2,075",Free Wifi Free parking ,False,0
74,property,      Cordela Hotel Senen,False,10620712,https://www.tripadvisor.com/Hotel_Review-g294229-d10620712-Reviews-Cordela_Hotel_Senen-Jakarta_Java.html,60,75,"2,075",Free Wifi Free parking ,False,0
75,property,      Verse Luxe Hotel Wahid Hasyim,False,12417943,https://www.tripadvisor.com/Hotel_Review-g294229-d12417943-Reviews-Verse_Luxe_Hotel_Wahid_Hasyim-Jakarta_Java.html,98,76,"2,075",Free Wifi Free parking ,False,0
76,property,      grandkemang Hotel,False,562541,https://www.tripadvisor.com/Hotel_Review-g294229-d562541-Reviews-Grandkemang_Hotel-Jakarta_Java.html,794,77,"2,075",Free Wifi Free parking ,False,0
77,property,      YELLO Hotel Manggarai,False,12214494,https://www.tripadvisor.com/Hotel_Review-g294229-d12214494-Reviews-YELLO_Hotel_Manggarai-Jakarta_Java.html,188,78,"2,075",Free Wifi Free parking ,False,0
78,property,      Diradja Hotel,False,6207104,https://www.tripadvisor.com/Hotel_Review-g294229-d6207104-Reviews-Diradja_Hotel-Jakarta_Java.html,70,79,"2,075",Free Wifi Restaurant ,False,0
79,property,      Kosenda Hotel,False,4798294,https://www.tripadvisor.com/Hotel_Review-g294229-d4798294-Reviews-Kosenda_Hotel-Jakarta_Java.html,669,80,"2,075",Free Wifi Free parking ,False,0
80,property,      Hotel NEO+ Kebayoran,False,12805469,https://www.tripadvisor.com/Hotel_Review-g294229-d12805469-Reviews-Hotel_NEO_Kebayoran-Jakarta_Java.html,102,81,"2,075",Free Wifi Free parking ,False,0
81,property,      Mega Anggrek Hotel,False,677224,https://www.tripadvisor.com/Hotel_Review-g294229-d677224-Reviews-Mega_Anggrek_Hotel-Jakarta_Java.html,113,82,"2,075",Free Wifi Pool ,False,0
